Date,forecast,upper,lower,method
2026-09-01,1287.7127774406567,1311.724374308584,1263.7011805727295,seasonal_naive
2026-09-02,1287.6755559572357,1321.6330819020936,1253.7180300123778,seasonal_naive
2026-09-03,1287.638335549706,1329.2276412958174,1246.0490298035945,seasonal_naive
2026-09-04,1287.6011162180362,1335.6243099538904,1239.577922482182,seasonal_naive
2026-09-05,1287.5638979621954,1341.2554608072014,1233.8723351171893,seasonal_naive
2026-09-06,1287.5266807821527,1346.342841017985,1228.7105205463204,seasonal_naive
2026-09-07,1287.4894646778766,1351.0181785719492,1223.960750783804,seasonal_naive
2026-09-08,1287.4522496493364,1355.3673015390523,1219.5371977596205,seasonal_naive
2026-09-09,1287.4150356965006,1359.449826300282,1215.3802450927192,seasonal_naive
2026-09-10,1287.3778228193385,1363.3091591797534,1211.4464864589236,seasonal_naive
2026-09-11,1287.3406110178187,1366.9780684460059,1207.7031535896315,seasonal_naive
2026-09-12,1287.3034002919103,1370.4820117841334,1204.1247887996872,seasonal_naive
2026-09-13,1287.2661906415822,1373.841234354664,1200.6911469285003,seasonal_naive
2026-09-14,1287.2289820668032,1377.0721508559207,1197.3858132776857,seasonal_naive
2026-09-15,1287.191774567542,1380.18828935287,1194.1952597822142,seasonal_naive
2026-09-16,1287.154568143768,1383.2009556154767,1191.1081806720595,seasonal_naive
2026-09-17,1287.11736279545,1386.1197129216637,1188.1150126692362,seasonal_naive
2026-09-18,1287.0801585225565,1388.95273635713,1185.207580687983,seasonal_naive
2026-09-19,1287.042955325057,1391.7070795453892,1182.3788311047247,seasonal_naive
2026-09-20,1287.00575320292,1394.3888788929323,1179.6226275129077,seasonal_naive
2026-09-21,1286.9685521561146,1397.0035123601551,1176.933591952074,seasonal_naive
2026-09-22,1286.9313521846095,1399.555724552462,1174.3069798167571,seasonal_naive
2026-09-23,1286.894153288374,1402.0497264726557,1171.738580104092,seasonal_naive
2026-09-24,1286.8569554673766,1404.489275939041,1169.2246349957122,seasonal_naive
2026-09-25,1286.8197587215864,1406.877743061222,1166.7617743819508,seasonal_naive
2026-09-26,1286.7825630509724,1409.2181640330562,1164.3469620688886,seasonal_naive
2026-09-27,1286.7453684555035,1411.513285693838,1161.977451217169,seasonal_naive
2026-09-28,1286.7081749351487,1413.765602723294,1159.6507471470034,seasonal_naive
2026-09-29,1286.6709824898767,1415.977388906139,1157.3645760736144,seasonal_naive
2026-09-30,1286.6337911196565,1418.1507235824974,1155.1168586568156,seasonal_naive
2026-10-01,1286.9373765115838,1420.6282898474694,1153.2464631756982,seasonal_naive
2026-10-02,1287.2410335354632,1423.0711373148947,1151.4109297560317,seasonal_naive
2026-10-03,1287.5447622081967,1425.4808846594206,1149.608639756973,seasonal_naive
2026-10-04,1287.84856254669,1427.8590288019911,1147.8380962913886,seasonal_naive
2026-10-05,1288.1524345678527,1430.2069573581343,1146.097911777571,seasonal_naive
2026-10-06,1288.4563782885987,1432.5259594961615,1144.3867970810359,seasonal_naive
2026-10-07,1288.7603937258457,1434.817235446699,1142.7035520049924,seasonal_naive
2026-10-08,1289.0644808965155,1437.0819048628116,1141.0470569302195,seasonal_naive
2026-10-09,1289.3686398175337,1439.3210141960878,1139.4162654389795,seasonal_naive
2026-10-10,1289.6728705058301,1441.5355432266601,1137.8101977850001,seasonal_naive
2026-10-11,1289.9771729783386,1443.7264108628294,1136.2279350938477,seasonal_naive
2026-10-12,1290.2815472519965,1445.8944803077345,1134.6686141962584,seasonal_naive
2026-10-13,1290.585993343746,1448.0405636755006,1133.1314230119913,seasonal_naive
2026-10-14,1290.8905112705324,1450.1654261269068,1131.615596414158,seasonal_naive
