Date,Soybeans,shock_type,shock_direction,window_active,is_strong,ret_5d_at_shock,ret_10d_at_shock,ret_active_at_shock,oil_5d_at_shock,oil_10d_at_shock,oil_active_at_shock,soyoil_5d_at_shock,soyoil_10d_at_shock,ok,spike_size_pct,peak_day,peak_gain_pct,half_fade_day,full_fade_day,ret_30d_pct,persistence_30d_pct,survived_30d
2016-07-11,1082.75,oil_collapse,down,5d,True,-0.07358288770053478,,-0.07358288770053478,-0.08634421743228604,,-0.08634421743228604,-0.025136985800364497,,True,-7.36,10,-15.83,,,-11.42,72.2,True
2016-07-14,1111.5,soyoil_driven,up,5d,True,0.05430400758833298,,0.05430400758833298,0.011962802898290992,,0.011962802898290992,0.04675416476284666,,True,5.43,0,5.43,1.0,3.0,-5.31,-97.8,False
2016-07-18,1078.25,oil_collapse,down,10d,True,-0.004156084045255137,-0.07743315508021387,-0.07743315508021387,0.01072393599046828,-0.07654623130270855,-0.07654623130270855,0.022809935010169147,-0.002900423802653207,True,-0.42,30,-9.19,,,-9.19,100.0,True
2016-07-19,1044.0,speculative_down,down,10d,True,-0.05712350417701517,-0.06535362578334825,-0.06535362578334825,-0.04594012278271742,-0.04184542944406089,-0.04184542944406089,-0.0016281093634361588,-0.005191429234146949,True,-5.71,30,-12.8,,,-12.8,100.0,True
2016-07-20,1027.0,speculative_down,down,5d,True,-0.08953900709219853,-0.0716384180790961,-0.08953900709219853,0.004245779367798352,-0.052498453772834686,0.004245779367798352,0.001957568244343566,0.015206581304881173,True,-8.95,30,-14.89,,,-14.89,100.0,True
2016-07-21,1032.5,speculative_down,down,5d,True,-0.07107512370670266,-0.020630780175480146,-0.07107512370670266,-0.02035902580916593,-0.008639773923831084,-0.02035902580916593,-0.0019280646424459924,0.04473595506843431,True,-7.11,30,-13.72,,,-13.72,100.0,True
2016-07-22,1006.5,speculative_down,down,10d,True,-0.06153846153846154,-0.07639366827253957,-0.07639366827253957,-0.038302548574710604,-0.02686635597451248,-0.02686635597451248,-0.022013606947614894,-0.0019822058930833997,True,-6.15,29,-10.58,,,-9.7,91.6,True
2016-07-25,983.75,speculative_down,down,10d,True,-0.08764201252028747,-0.09143384899561302,-0.09143384899561302,-0.046640153228727055,-0.03641638325606922,-0.03641638325606922,-0.047834564448563266,-0.026115732744705578,True,-8.76,28,-11.06,,,-9.65,87.2,True
2016-07-26,993.5,oil_collapse,down,10d,True,-0.048371647509578564,-0.10273199367803121,-0.10273199367803121,-0.038745874531065594,-0.08290600708050211,-0.08290600708050211,-0.03587737726497653,-0.03744707433455208,True,-4.84,27,-8.14,,,-5.0,61.5,True
2016-07-27,1010.5,oil_collapse,down,10d,True,-0.01606621226874394,-0.10416666666666663,-0.10416666666666663,-0.06720072430017388,-0.0632402643811103,-0.0632402643811103,-0.038423915109257356,-0.03654156430095501,True,-1.61,26,-6.62,,,-3.41,51.5,True
