Date,expected_return,signal,confidence,expected_vol
2016-12-08,0.06097561,HOLD,0.12195122,0.1800139844417572
2016-12-09,0.06097561,HOLD,0.12195122,0.1800139844417572
2016-12-12,0.06097561,HOLD,0.12195122,0.175935298204422
2016-12-13,0.06097561,HOLD,0.12195122,0.16744093596935272
2016-12-14,0.06097561,HOLD,0.12195122,0.16744093596935272
2016-12-15,0.06097561,HOLD,0.12195122,0.16657376289367676
2016-12-16,0.06097561,HOLD,0.12195122,0.16815009713172913
2016-12-19,0.06097561,HOLD,0.12195122,0.16657376289367676
2016-12-20,0.06097561,HOLD,0.12195122,0.17235885560512543
2016-12-21,0.06097561,HOLD,0.12195122,0.1721765697002411
2016-12-22,0.06097561,HOLD,0.12195122,0.15749311447143555
2016-12-23,0.06097561,HOLD,0.12195122,0.1518474966287613
2016-12-27,0.06097561,HOLD,0.12195122,0.18552464246749878
2016-12-28,0.06097561,HOLD,0.12195122,0.18742656707763672
2016-12-29,0.06097561,HOLD,0.12195122,0.18655939400196075
2016-12-30,0.06097561,HOLD,0.12195122,0.18364281952381134
2017-01-03,0.06097561,HOLD,0.12195122,0.1799408495426178
2017-01-04,0.06097561,HOLD,0.12195122,0.20020298659801483
2017-01-05,0.06097561,HOLD,0.12195122,0.1875792294740677
2017-01-06,0.06097561,HOLD,0.12195122,0.19931550323963165
2017-01-09,0.06097561,HOLD,0.12195122,0.19931550323963165
2017-01-10,0.06097561,HOLD,0.12195122,0.21267780661582947
2017-01-11,0.06097561,HOLD,0.12195122,0.1770748794078827
2017-01-12,0.06097561,HOLD,0.12195122,0.216347798705101
2017-01-13,0.06097561,HOLD,0.12195122,0.21783378720283508
2017-01-17,0.06097561,HOLD,0.12195122,0.22358593344688416
2017-01-18,0.06097561,HOLD,0.12195122,0.22179776430130005
2017-01-19,0.06097561,HOLD,0.12195122,0.22179776430130005
2017-01-20,0.06097561,HOLD,0.12195122,0.22179776430130005
2017-01-23,0.06097561,HOLD,0.12195122,0.18701063096523285
2017-01-24,0.06097561,HOLD,0.12195122,0.18992720544338226
2017-01-25,0.06097561,HOLD,0.12195122,0.1909470409154892
2017-01-26,0.06097561,HOLD,0.12195122,0.1909470409154892
2017-01-27,0.06097561,HOLD,0.12195122,0.1684555858373642
2017-01-30,0.06097561,HOLD,0.12195122,0.1870497465133667
2017-01-31,0.06097561,HOLD,0.12195122,0.15372931957244873
2017-02-01,0.06097561,HOLD,0.12195122,0.15850776433944702
2017-02-02,0.06097561,HOLD,0.12195122,0.15850776433944702
2017-02-03,0.06097561,HOLD,0.12195122,0.1684555858373642
2017-02-06,0.06097561,HOLD,0.12195122,0.17100726068019867
2017-02-07,0.06097561,HOLD,0.12195122,0.175935298204422
2017-02-08,0.06097561,HOLD,0.12195122,0.18095549941062927
2017-02-09,0.06097561,HOLD,0.12195122,0.18095549941062927
2017-02-10,0.06097561,HOLD,0.12195122,0.18367032706737518
2017-02-13,0.06097561,HOLD,0.12195122,0.15372931957244873
2017-02-14,0.06097561,HOLD,0.12195122,0.15850776433944702
2017-02-15,0.06097561,HOLD,0.12195122,0.1684555858373642
2017-02-16,0.06097561,HOLD,0.12195122,0.1800139844417572
2017-02-17,0.06097561,HOLD,0.12195122,0.1800139844417572
2017-02-21,0.06097561,HOLD,0.12195122,0.17899933457374573
2017-02-22,0.06097561,HOLD,0.12195122,0.17794205248355865
2017-02-23,0.06097561,HOLD,0.12195122,0.15749311447143555
2017-02-24,0.06097561,HOLD,0.12195122,0.16744093596935272
2017-02-27,0.06097561,HOLD,0.12195122,0.1518474966287613
2017-02-28,0.06097561,HOLD,0.12195122,0.17130939662456512
2017-03-01,0.06097561,HOLD,0.12195122,0.1781618744134903
2017-03-02,0.06097561,HOLD,0.12195122,0.17616307735443115
2017-03-03,0.06097561,HOLD,0.12195122,0.16566196084022522
2017-03-06,0.06097561,HOLD,0.12195122,0.15571413934230804
2017-03-07,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-03-08,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-03-09,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-03-10,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-03-13,0.06097561,HOLD,0.12195122,0.16657376289367676
2017-03-14,0.06097561,HOLD,0.12195122,0.15093569457530975
2017-03-15,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-16,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-17,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-20,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-21,0.06097561,HOLD,0.12195122,0.14616166055202484
2017-03-22,0.06097561,HOLD,0.12195122,0.14616166055202484
