Date,pct_emerged,pct_planted,week_ending,released_at
2026-04-13,,6.0,2026-04-12,2026-04-13
2026-04-20,,12.0,2026-04-19,2026-04-20
2026-04-27,8.0,23.0,2026-04-26,2026-04-27
