Date,soy_ret,corn_ret,flagged
2016-06-17,,,False
2016-06-20,-0.013799051315222077,-0.03769274700171332,False
2016-06-21,-0.008963707914298236,-0.05934718100890213,False
2016-06-22,0.003750275755570298,-0.008201892744479466,False
2016-06-23,-0.011428571428571455,-0.014631043256997489,False
2016-06-24,-0.019119608714984415,-0.007101355713363455,True
2016-06-27,0.027198549410698103,0.0019505851755525772,True
2016-06-28,0.015445719329214569,0.0,True
2016-06-29,-0.0052151238591916504,-0.03244646333549639,False
2016-06-30,0.02664919178680636,-0.03755868544600938,True
2016-07-01,-0.005319148936170248,-0.016027874564459976,False
2016-07-05,-0.04427807486631019,-0.025495750708215303,True
2016-07-06,-0.009623992837958784,-0.02398255813953487,False
2016-07-07,-0.047005649717514086,-0.0007446016381236209,True
2016-07-08,0.033673227412852835,0.04247391952309987,True
2016-07-11,-0.006423491626519895,-0.01715511079342391,False
2016-07-12,0.02262756869083349,0.01745454545454539,False
2016-07-13,0.018740121923684905,0.045746962115797096,False
2016-07-14,-0.0146276595744681,-0.009569377990430672,False
2016-07-15,-0.03508771929824561,-0.027605244996549372,True
2016-07-18,0.005361305361305302,0.013484740951029028,False
2016-07-19,-0.03176443310920474,-0.04271708683473385,True
2016-07-20,-0.016283524904214586,-0.012435991221653286,False
2016-07-21,0.00535540408958135,-0.009629629629629655,False
2016-07-22,-0.025181598062953947,0.002243829468960401,True
2016-07-25,-0.022603079980129115,-0.0007462686567164534,True
2016-07-26,0.009911054637865346,-0.006721433905899965,False
2016-07-27,0.01711122294916967,0.009774436090225658,False
2016-07-28,-0.006927263730826305,-0.013402829486224843,False
2016-07-29,0.028898854010961594,0.009811320754717023,True
2016-08-01,-0.03535108958837774,-0.02615844544095669,True
2016-08-02,-0.010793172690763075,-0.004604758250191909,False
2016-08-03,0.005328596802841812,0.0023130300693909867,False
2016-08-04,0.0,-0.013076923076923097,False
2016-08-05,0.01337708228167589,0.010911925175370207,False
2016-08-08,0.014943960149439661,0.0030840400925211675,False
2016-08-09,0.0031901840490797806,-0.009223674096848544,False
2016-08-10,-0.004892367906066508,0.0007757951900697613,False
2016-08-11,0.005162241887905594,-0.0046511627906976605,False
2016-08-12,-0.0185864514551235,0.003894080996884819,True
2016-08-15,0.020433590829803228,0.013188518231187052,False
2016-08-16,-0.004151404151404137,0.003062787136294043,False
2016-08-17,0.010789602746444249,0.008396946564885432,False
2016-08-18,0.001698204754973398,0.005299015897047621,False
2016-08-19,-0.0050859772341971254,0.006777108433734913,False
2016-08-22,0.008033106134371915,-0.0029917726252804977,False
2016-08-23,-0.0009659502535619424,-0.014253563390847712,False
2016-08-24,-0.0033840947546531774,-0.0030441400304414,False
2016-08-25,-0.031530439000727606,-0.012213740458015265,True
2016-08-26,-0.007513148009015813,-0.022411128284389514,False
2016-08-29,-0.007570022710068125,-0.014229249011857736,False
2016-08-30,-0.01805237732011189,-0.024859663191659997,False
2016-08-31,-0.005696530295183799,-0.008223684210526327,False
2016-09-01,-0.0010416666666667185,0.031509121061359835,False
2016-09-02,0.009906152241918598,0.01768488745980701,False
2016-09-06,0.005937016004130102,0.0007898894154818592,False
2016-09-07,0.017962535283551517,0.013417521704814472,False
2016-09-08,0.0002520796571716666,0.01869158878504673,False
2016-09-09,0.005292338709677491,0.00917431192660545,False
2016-09-12,-0.012785159187766348,-0.002272727272727315,False
2016-09-13,-0.016505840528186932,-0.03037205770690965,False
2016-09-14,0.0038729666924863793,0.009397024275646038,False
2016-09-15,-0.022119341563786032,0.024049650892164376,False
2016-09-16,0.01630720673329833,0.021212121212121238,False
2016-09-19,0.006728778467908869,0.0007418397626113293,False
2016-09-20,0.017737789203084775,0.00963676797627877,False
2016-09-21,-0.01439757514523865,-0.001468428781204123,False
2016-09-22,0.001025115325474113,-0.00955882352941173,False
2016-09-23,-0.022017409114183262,-0.0007423904974016571,True
2016-09-26,-0.01020942408376968,-0.022288261515601815,False
2016-09-27,0.007669928590320119,0.008358662613981771,False
2016-09-28,-0.0073490813648293685,-0.007535795026375247,False
2016-09-29,0.005023796932839719,0.0,False
2016-09-30,0.003946329913180779,0.02277904328018221,False
2016-10-03,0.01991614255765195,0.027468448403860535,False
2016-10-04,-0.009763617677286729,0.006502890173410325,False
2016-10-05,-0.007005708354955842,-0.001435750179468731,False
2016-10-06,0.0018291089626338852,-0.02084831056793679,False
2016-10-07,-0.0018257694314032236,-0.0022026431718061845,False
2016-10-11,-0.002613012803762693,0.016924208977189048,False
2016-10-12,-0.009169504846738286,-0.02460202604920403,False
2016-10-13,0.011369645690111119,0.0370919881305638,False
2016-10-14,0.006535947712418277,0.013590844062947083,False
2016-10-17,0.016363636363636358,-0.0007057163020465218,True
2016-10-18,-0.005877843087145451,-0.0007062146892655718,False
2016-10-19,0.009254498714653003,0.010600706713780994,False
2016-10-20,-0.006113092205807469,-0.018181818181818188,False
2016-10-21,0.0076883649410559585,0.004273504273504258,False
2016-10-24,0.00915564598168861,-0.012056737588652444,False
2016-10-25,-0.0012600806451612545,0.002871500358937462,False
2016-10-26,0.0194297249558415,0.013600572655690701,False
2016-10-27,0.004207920792079101,0.009887005649717562,False
2016-10-28,-0.012817352723687447,-0.006993006993006978,False
2016-10-31,0.0009987515605494046,-0.0007042253521126751,False
2016-11-01,-0.01795959092042898,-0.01620859760394644,False
2016-11-02,-0.007620015240030531,-0.007879656160458492,False
2016-11-03,0.003071410289224419,0.005054151624548808,False
2016-11-04,0.0017861699413115328,0.0021551724137931494,False
2016-11-07,0.007896077432501203,-0.007168458781361964,False
