Date,insp_soy_lbs,insp_soy_bu,insp_soy_4wk_avg,insp_soy_yoy,insp_soy_zscore
2016-01-07,2743303283,45721721.38333333,45721721.38333333,0.0,0.0
2016-01-14,3080471193,51341186.55,48531453.96666667,0.0,0.0
2016-01-21,2641717890,44028631.5,47030513.14444444,0.0,0.0
2016-01-28,2661780383,44363006.38333333,46363636.454166666,0.0,0.0
2016-02-04,2815932025,46932200.416666664,46666256.2125,0.0,0.0
2016-02-11,3844120831,64068680.516666666,49848129.704166666,0.0,0.0
2016-02-18,3406459533,56774325.55,53034553.21666666,0.0,0.0
2016-02-25,2326342750,38772379.166666664,51636896.412499994,0.0,0.0
2016-03-03,2415066163,40251102.71666667,49966621.9875,0.0,0.0
2016-03-10,1578231357,26303855.95,40525415.84583333,0.0,-1.9014148449292427
2016-03-17,1272287970,21204799.5,31633034.333333336,0.0,-1.8272986781162104
2016-03-24,1251914710,20865245.166666668,27156250.833333336,0.0,-1.554947579614287
2016-03-31,500098320,8334972.0,19177218.15416667,0.0,-1.9466326402090492
2016-04-07,853366610,14222776.833333334,16156948.375,0.0,-1.3940502886578128
2016-04-14,590926000,9848766.666666666,13317940.166666666,0.0,-1.4671875282994127
2016-04-21,623446730,10390778.833333334,10699323.583333334,0.0,-1.3064127386565594
2016-04-28,427941210,7132353.5,10398668.958333334,0.0,-1.3545097729075404
2016-05-05,319823200,5330386.666666667,8175571.416666666,0.0,-1.332338657119438
2016-05-12,465329350,7755489.166666667,7652252.041666667,0.0,-1.130623157620296
2016-05-19,194801260,3246687.6666666665,5866229.250000001,0.0,-1.2697958421002942
2016-05-26,500799724,8346662.066666666,6169806.391666667,0.0,-0.9641931020096876
2016-06-02,216906440,3615107.3333333335,5740986.558333333,0.0,-1.1386766787594507
2016-06-09,329160310,5486005.166666667,5173615.558333334,0.0,-0.9983850132823545
2016-06-16,695317860,11588631.0,7259101.391666666,0.0,-0.6716040091384201
2016-06-23,652197040,10869950.666666666,7889923.541666667,0.0,-0.6871995011195141
2016-06-30,425240100,7087335.0,8757980.458333332,0.0,-0.8515948356011637
2016-07-07,860604180,14343403.0,10972329.916666668,0.0,-0.4670010924069595
2016-07-14,883164670,14719411.166666666,11755024.958333334,0.0,-0.43794375338654684
2016-07-21,1588660580,26477676.333333332,15656956.375,0.0,0.18352196574467897
2016-07-28,1498299100,24971651.666666668,20128035.541666668,0.0,0.10041578728565598
2016-08-04,2238121455,37302024.25,25867690.854166668,0.0,0.7589272351168121
2016-08-11,1713317290,28555288.166666668,29326660.104166668,0.0,0.2698445197229541
2016-08-18,2087587643,34793127.38333333,31405522.866666667,0.0,0.6078806756101689
2016-08-25,2163829319,36063821.983333334,34178565.44583333,0.0,0.6656445945191222
2016-09-01,2717784030,45296400.5,36177159.50833333,0.0,1.1538885216011332
2016-09-08,2091909660,34865161.0,37754627.71666667,0.0,0.5496183670228906
2016-09-15,1678068330,27967805.5,36048297.24583334,0.0,0.1506814051652347
2016-09-22,852484440,14208074.0,30584360.25,0.0,-0.6399424104102277
2016-09-29,2447259858,40787664.3,29457176.2,0.0,0.9013926969895028
2016-10-06,4087748850,68129147.5,37773172.825,0.0,2.302482976324996
2016-10-13,5654119163,94235319.38333334,54340051.295833334,0.0,3.0
2016-10-20,6224468467,103741141.11666666,76723318.075,0.0,3.0
2016-10-27,6588544780,109809079.66666667,93978671.91666666,0.0,2.967823776320651
2016-11-03,5903667811,98394463.51666667,101545000.92083333,0.0,2.3365530150286613
2016-11-10,6492812034,108213533.9,105039554.55,0.0,2.4650537415718956
2016-11-17,6007218507,100120308.45,104134346.38333333,0.0,2.061623555283389
2016-11-24,5046996249,84116604.15,97711227.50416668,0.0,1.4891622984766266
2016-12-01,4243338416,70722306.93333334,90793188.35833333,0.0,1.0383183744286102
2016-12-08,4065820297,67763671.61666666,80680722.78750001,0.0,0.9259357289080603
2016-12-15,3863435245,64390587.416666664,71748292.52916667,0.0,0.8046966025219647
2016-12-22,3839980627,63999677.11666667,66719060.77083333,0.0,0.779643608203714
2016-12-29,3532124600,58868743.333333336,63755669.87083333,0.0,0.6065337051780795
2017-01-05,1010714669,16845244.483333334,51026063.087500006,-0.6315702039715017,-0.7319644865670921
2017-01-12,3136256235,52270937.25,47996150.545833334,0.018109256183523215,0.40821216780409186
2017-01-19,2856657960,47610966.0,43898972.766666666,0.08136374849624839,0.2558440179249313
2017-01-26,3617655650,60294260.833333336,44255352.141666666,0.359111244903934,0.6515255474768714
2017-02-02,3637359546,60622659.1,55199705.795833334,0.2917071554665813,0.651161057560309
2017-02-09,2532867508,42214458.46666667,52685586.1,-0.3411061672218284,0.07721004320868345
2017-02-16,2409051075,40150851.25,50820557.4125,-0.2927991506541111,0.02126365476358559
2017-02-23,1566209609,26103493.483333334,42272865.575,-0.3267502783070121,-0.4226343012948525
2017-03-02,2089394733,34823245.55,35823012.1875,-0.13484989976235295,-0.13886812573036705
2017-03-09,1494794226,24913237.1,31497706.845833335,-0.05286749032702176,-0.45643360568737545
2017-03-16,1640411995,27340199.916666668,28295044.0125,0.2893401758722909,-0.3829398314105418
2017-03-23,1226715085,20445251.416666668,26880483.49583333,-0.020128867245277404,-0.6045782042055808
2017-03-30,1384073170,23067886.166666668,23941643.650000002,1.7676021187193753,-0.5330623357579751
2017-04-06,1892370500,31539508.333333332,25598211.458333336,1.2175352044767722,-0.27082007359125965
2017-04-13,1002149537,16702492.283333333,22938784.55,0.695896841567303,-0.7619829864714402
2017-04-20,1428188372,23803139.533333335,23778256.579166666,1.2907945511238785,-0.5414547845986772
2017-04-27,1222413705,20373561.75,23104675.475,1.8564991555732622,-0.667908166038944
2017-05-04,818237060,13637284.333333334,18629119.475,1.5584043308928184,-0.9019590738009116
2017-05-11,628375080,10472918.0,17071725.90416667,0.35038780597011554,-1.0112753452039938
2017-05-18,728178350,12136305.833333334,14155017.479166668,2.738057700448139,-0.9676104452609396
2017-05-25,774915630,12915260.5,12290442.166666668,0.5473563439903175,-0.9472559170350071
2017-06-01,644616545,10743609.083333334,11567023.354166666,1.9718644822163878,-1.0308241557985205
2017-06-08,1185134628,19752243.8,13886854.804166667,2.6004785267093715,-0.7410506390032185
2017-06-15,644080742,10734679.033333333,13536448.104166668,-0.07368877019784881,-1.0490002872408284
2017-06-22,724547840,12075797.333333334,13326582.312500002,0.11093395946721873,-1.0046803356436143
2017-06-29,621635990,10360599.833333334,13230830.000000002,0.4618470600491347,-1.0682903230347518
2017-07-06,1051958150,17532635.833333332,12675928.008333333,0.22234840876557205,-0.8254219884583922
2017-07-13,660641608,11010693.466666667,12744931.616666667,-0.25196100971747426,-1.04500383709821
2017-07-20,1415033903,23583898.383333333,15621956.879166666,-0.10929123513595329,-0.6104719108585166
2017-07-27,1088016400,18133606.666666668,17565208.5875,-0.27383230758131005,-0.7905363776706068
2017-08-03,1514114190,25235236.5,19490858.754166666,-0.32348881843858646,-0.5381785889923718
2017-08-10,1302714339,21711905.65,22166161.8,-0.23965377189417159,-0.6522879316449962
2017-08-17,1474300765,24571679.416666668,22413107.058333334,-0.2937777870339693,-0.5468620224895034
2017-08-24,1628260274,27137671.233333334,24664123.2,-0.24750983836724694,-0.4531072507081721
2017-08-31,1570002572,26166709.533333335,24896991.458333332,-0.42232254120648427,-0.47260858948258966
2017-09-07,2464981476,41083024.6,29739771.195833337,0.17834030939940315,0.02779940305661688
2017-09-14,2104538880,35075648.0,32365763.34166667,0.254143733229266,-0.18029995901353923
2017-09-21,2326183465,38769724.416666664,35273776.6375,1.7287107609846815,-0.07172221077896826
2017-09-28,2027956795,33799279.916666664,37181919.233333334,-0.17133573356720344,-0.23671332181469595
2017-10-05,3286656573,54777609.55,40605565.47083333,-0.19597394712740246,0.4910693480209569
2017-10-12,3963792698,66063211.63333333,48352456.37916666,-0.29895487100118623,0.9215741931654597
2017-10-19,5843397389,97389956.48333333,63007514.395833336,-0.06122146493637293,2.0502878192358245
2017-10-26,5604379521,93406325.35,77909275.75416666,-0.14937520983199581,1.9700837163041023
2017-11-02,5497669499,91627824.98333333,87121829.6125,-0.0687705211400147,1.9289338348831606
2017-11-09,5108611623,85143527.05,91891908.46666667,-0.21318966323860167,1.769872275490224
2017-11-16,5024151055,83735850.91666667,88478382.075,-0.16364769333002716,1.773006868292889
2017-11-23,3801254880,63354248.0,80965362.7375,-0.24682827320246736,1.0105699336789948
2017-11-30,3975181528,66253025.46666667,74621662.85833333,-0.06319479186220067,1.1354206739888166
