Date,trends_interest,trends_norm
2021-01-01,46.0,-0.08
2021-01-02,45.903225806451616,-0.08193548387096769
2021-01-03,45.806451612903224,-0.08387096774193552
2021-01-04,45.70967741935484,-0.0858064516129032
2021-01-05,45.61290322580645,-0.08774193548387103
2021-01-06,45.516129032258064,-0.08967741935483872
2021-01-07,45.41935483870968,-0.09161290322580641
2021-01-08,45.32258064516129,-0.09354838709677424
2021-01-09,45.225806451612904,-0.09548387096774193
2021-01-10,45.12903225806452,-0.09741935483870962
2021-01-11,45.03225806451613,-0.09935483870967744
2021-01-12,44.935483870967744,-0.10129032258064513
2021-01-13,44.83870967741935,-0.10322580645161296
2021-01-14,44.74193548387097,-0.10516129032258065
2021-01-15,44.645161290322584,-0.10709677419354832
2021-01-16,44.54838709677419,-0.10903225806451616
2021-01-17,44.45161290322581,-0.11096774193548384
2021-01-18,44.354838709677416,-0.11290322580645168
2021-01-19,44.25806451612903,-0.11483870967741935
2021-01-20,44.16129032258065,-0.11677419354838704
2021-01-21,44.064516129032256,-0.11870967741935487
2021-01-22,43.96774193548387,-0.12064516129032256
2021-01-23,43.87096774193549,-0.12258064516129025
2021-01-24,43.774193548387096,-0.12451612903225807
2021-01-25,43.67741935483871,-0.12645161290322576
2021-01-26,43.58064516129032,-0.1283870967741936
2021-01-27,43.483870967741936,-0.13032258064516128
2021-01-28,43.38709677419355,-0.13225806451612898
2021-01-29,43.29032258064516,-0.1341935483870968
2021-01-30,43.193548387096776,-0.1361290322580645
2021-01-31,43.096774193548384,-0.1380645161290323
2021-02-01,43.0,-0.14
2021-02-02,43.07142857142857,-0.13857142857142862
2021-02-03,43.142857142857146,-0.1371428571428571
2021-02-04,43.214285714285715,-0.1357142857142857
2021-02-05,43.285714285714285,-0.1342857142857143
2021-02-06,43.357142857142854,-0.13285714285714292
2021-02-07,43.42857142857143,-0.1314285714285714
2021-02-08,43.5,-0.13
2021-02-09,43.57142857142857,-0.12857142857142861
2021-02-10,43.642857142857146,-0.12714285714285709
2021-02-11,43.714285714285715,-0.1257142857142857
2021-02-12,43.785714285714285,-0.1242857142857143
2021-02-13,43.857142857142854,-0.12285714285714291
2021-02-14,43.92857142857143,-0.12142857142857139
2021-02-15,44.0,-0.12
2021-02-16,44.07142857142857,-0.1185714285714286
2021-02-17,44.142857142857146,-0.11714285714285708
2021-02-18,44.214285714285715,-0.1157142857142857
2021-02-19,44.285714285714285,-0.11428571428571431
2021-02-20,44.357142857142854,-0.11285714285714292
2021-02-21,44.42857142857143,-0.11142857142857139
2021-02-22,44.5,-0.11
2021-02-23,44.57142857142857,-0.10857142857142861
2021-02-24,44.642857142857146,-0.10714285714285708
2021-02-25,44.714285714285715,-0.10571428571428569
2021-02-26,44.785714285714285,-0.1042857142857143
2021-02-27,44.857142857142854,-0.10285714285714292
2021-02-28,44.92857142857143,-0.10142857142857138
2021-03-01,45.0,-0.1
2021-03-02,45.0,-0.1
2021-03-03,45.0,-0.1
2021-03-04,45.0,-0.1
2021-03-05,45.0,-0.1
2021-03-06,45.0,-0.1
2021-03-07,45.0,-0.1
2021-03-08,45.0,-0.1
2021-03-09,45.0,-0.1
2021-03-10,45.0,-0.1
2021-03-11,45.0,-0.1
2021-03-12,45.0,-0.1
2021-03-13,45.0,-0.1
2021-03-14,45.0,-0.1
2021-03-15,45.0,-0.1
2021-03-16,45.0,-0.1
2021-03-17,45.0,-0.1
2021-03-18,45.0,-0.1
2021-03-19,45.0,-0.1
2021-03-20,45.0,-0.1
2021-03-21,45.0,-0.1
2021-03-22,45.0,-0.1
2021-03-23,45.0,-0.1
2021-03-24,45.0,-0.1
2021-03-25,45.0,-0.1
2021-03-26,45.0,-0.1
2021-03-27,45.0,-0.1
2021-03-28,45.0,-0.1
2021-03-29,45.0,-0.1
2021-03-30,45.0,-0.1
2021-03-31,45.0,-0.1
2021-04-01,45.0,-0.1
2021-04-02,45.166666666666664,-0.09666666666666672
2021-04-03,45.333333333333336,-0.09333333333333328
2021-04-04,45.5,-0.09
2021-04-05,45.666666666666664,-0.08666666666666671
2021-04-06,45.833333333333336,-0.08333333333333329
2021-04-07,46.0,-0.08
2021-04-08,46.166666666666664,-0.07666666666666672
2021-04-09,46.333333333333336,-0.07333333333333329
2021-04-10,46.5,-0.07
2021-04-11,46.666666666666664,-0.06666666666666671
2021-04-12,46.833333333333336,-0.06333333333333328
2021-04-13,47.0,-0.06
2021-04-14,47.166666666666664,-0.05666666666666671
2021-04-15,47.333333333333336,-0.05333333333333329
2021-04-16,47.5,-0.05
2021-04-17,47.666666666666664,-0.04666666666666672
2021-04-18,47.833333333333336,-0.043333333333333286
2021-04-19,48.0,-0.04
2021-04-20,48.166666666666664,-0.036666666666666715
2021-04-21,48.333333333333336,-0.033333333333333284
2021-04-22,48.5,-0.03
2021-04-23,48.666666666666664,-0.026666666666666713
2021-04-24,48.833333333333336,-0.023333333333333286
2021-04-25,49.0,-0.02
2021-04-26,49.166666666666664,-0.016666666666666715
2021-04-27,49.333333333333336,-0.013333333333333286
2021-04-28,49.5,-0.01
2021-04-29,49.666666666666664,-0.006666666666666714
2021-04-30,49.833333333333336,-0.003333333333333286
2021-05-01,50.0,0.0
2021-05-02,50.064516129032256,0.0012903225806451246
2021-05-03,50.12903225806452,0.0025806451612903915
2021-05-04,50.193548387096776,0.003870967741935516
2021-05-05,50.25806451612903,0.005161290322580641
2021-05-06,50.32258064516129,0.006451612903225765
2021-05-07,50.38709677419355,0.007741935483871032
2021-05-08,50.45161290322581,0.009032258064516156
2021-05-09,50.516129032258064,0.010322580645161282
2021-05-10,50.58064516129032,0.011612903225806406
2021-05-11,50.645161290322584,0.012903225806451672
2021-05-12,50.70967741935484,0.014193548387096798
2021-05-13,50.774193548387096,0.015483870967741922
2021-05-14,50.83870967741935,0.016774193548387047
2021-05-15,50.903225806451616,0.018064516129032312
