Date,cot_commercial_net,cot_noncomm_net,cot_noncomm_long_pct,cot_index
2021-01-08,-340032.0,159446.0,19.000974885102828,40.33186136758819
2021-01-09,-337513.85714285716,158173.85714285713,18.860056741567913,40.33186136758819
2021-01-10,-334995.71428571426,156901.7142857143,18.719138598033002,40.33186136758819
2021-01-11,-332477.5714285714,155629.57142857142,18.578220454498087,40.33186136758819
2021-01-12,-329959.4285714286,154357.42857142858,18.437302310963176,40.33186136758819
2021-01-13,-327441.28571428574,153085.2857142857,18.29638416742826,40.33186136758819
2021-01-14,-324923.14285714284,151813.14285714287,18.15546602389335,40.33186136758819
2021-01-15,-322405.0,150541.0,18.014547880358435,40.33186136758819
2021-01-16,-320826.85714285716,148677.42857142858,17.825876455766135,40.33186136758819
2021-01-17,-319248.71428571426,146813.85714285713,17.63720503117384,40.33186136758819
2021-01-18,-317670.5714285714,144950.2857142857,17.448533606581538,40.33186136758819
2021-01-19,-316092.4285714286,143086.7142857143,17.25986218198924,40.33186136758819
2021-01-20,-314514.28571428574,141223.14285714287,17.07119075739694,40.33186136758819
2021-01-21,-312936.14285714284,139359.57142857142,16.882519332804645,40.33186136758819
2021-01-22,-311358.0,137496.0,16.693847908212344,40.33186136758819
2021-01-23,-312029.5714285714,139012.42857142858,16.79886587221458,40.33186136758819
2021-01-24,-312701.14285714284,140528.85714285713,16.903883836216817,40.33186136758819
2021-01-25,-313372.71428571426,142045.2857142857,17.008901800219054,40.33186136758819
2021-01-26,-314044.28571428574,143561.7142857143,17.113919764221293,40.33186136758819
2021-01-27,-314715.85714285716,145078.14285714287,17.21893772822353,40.33186136758819
2021-01-28,-315387.4285714286,146594.57142857142,17.323955692225766,40.33186136758819
2021-01-29,-316059.0,148111.0,17.428973656228003,40.33186136758819
2021-01-30,-316408.28571428574,148130.42857142858,17.4561174226365,40.33186136758819
2021-01-31,-316757.5714285714,148149.85714285713,17.483261189044992,40.33186136758819
2021-02-01,-317106.85714285716,148169.2857142857,17.510404955453488,40.33186136758819
2021-02-02,-317456.14285714284,148188.7142857143,17.537548721861985,40.33186136758819
2021-02-03,-317805.4285714286,148208.14285714287,17.56469248827048,40.33186136758819
2021-02-04,-318154.71428571426,148227.57142857142,17.591836254678974,40.33186136758819
2021-02-05,-318504.0,148247.0,17.61898002108747,40.33186136758819
2021-02-06,-320688.85714285716,149860.85714285713,17.77140262301204,40.33186136758819
2021-02-07,-322873.71428571426,151474.7142857143,17.92382522493661,40.33186136758819
2021-02-08,-325058.5714285714,153088.57142857142,18.07624782686118,40.33186136758819
2021-02-09,-327243.4285714286,154702.42857142858,18.228670428785748,40.33186136758819
2021-02-10,-329428.28571428574,156316.2857142857,18.381093030710318,40.33186136758819
2021-02-11,-331613.14285714284,157930.14285714287,18.533515632634888,40.33186136758819
2021-02-12,-333798.0,159544.0,18.68593823455946,40.33186136758819
2021-02-13,-330701.4285714286,158128.14285714287,18.5444502096562,40.33186136758819
2021-02-14,-327604.85714285716,156712.2857142857,18.402962184752944,40.33186136758819
2021-02-15,-324508.28571428574,155296.42857142858,18.261474159849687,40.33186136758819
2021-02-16,-321411.71428571426,153880.57142857142,18.119986134946434,40.33186136758819
2021-02-17,-318315.14285714284,152464.7142857143,17.978498110043176,40.33186136758819
2021-02-18,-315218.5714285714,151048.85714285713,17.83701008513992,40.33186136758819
2021-02-19,-312122.0,149633.0,17.695522060236662,40.33186136758819
2021-02-20,-312033.14285714284,151101.85714285713,17.911835810725446,40.33186136758819
2021-02-21,-311944.28571428574,152570.7142857143,18.12814956121423,40.33186136758819
2021-02-22,-311855.4285714286,154039.57142857142,18.344463311703013,40.33186136758819
2021-02-23,-311766.5714285714,155508.42857142858,18.560777062191796,40.33186136758819
2021-02-24,-311677.71428571426,156977.2857142857,18.77709081268058,40.33186136758819
2021-02-25,-311588.85714285716,158446.14285714287,18.993404563169364,40.33186136758819
2021-02-26,-311500.0,159915.0,19.209718313658147,40.33186136758819
2021-02-27,-311091.28571428574,157545.57142857142,19.081353399176134,40.33186136758819
2021-02-28,-310682.5714285714,155176.14285714287,18.95298848469412,40.33186136758819
2021-03-01,-310273.85714285716,152806.7142857143,18.824623570212108,40.33186136758819
2021-03-02,-309865.14285714284,150437.2857142857,18.69625865573009,40.33186136758819
2021-03-03,-309456.4285714286,148067.85714285713,18.567893741248078,40.33186136758819
2021-03-04,-309047.71428571426,145698.42857142858,18.439528826766065,40.33186136758819
2021-03-05,-308639.0,143329.0,18.31116391228405,40.33186136758819
2021-03-06,-308943.14285714284,143787.42857142858,18.335572070389517,40.33186136758819
2021-03-07,-309247.28571428574,144245.85714285713,18.359980228494987,40.33186136758819
2021-03-08,-309551.4285714286,144704.2857142857,18.384388386600452,40.33186136758819
2021-03-09,-309855.5714285714,145162.7142857143,18.40879654470592,40.33186136758819
2021-03-10,-310159.71428571426,145621.14285714287,18.433204702811384,40.33186136758819
2021-03-11,-310463.85714285716,146079.57142857142,18.457612860916853,40.33186136758819
2021-03-12,-310768.0,146538.0,18.48202101902232,40.33186136758819
2021-03-13,-309947.85714285716,146347.14285714287,18.51176574564094,39.48054265195799
2021-03-14,-309127.71428571426,146156.2857142857,18.54151047225956,38.62922393632779
2021-03-15,-308307.5714285714,145965.42857142858,18.57125519887818,37.77790522069759
2021-03-16,-307487.4285714286,145774.57142857142,18.600999925496804,36.9265865050674
2021-03-17,-306667.28571428574,145583.7142857143,18.630744652115425,36.0752677894372
2021-03-18,-305847.14285714284,145392.85714285713,18.660489378734045,35.223949073807
2021-03-19,-305027.0,145202.0,18.690234105352665,34.3726303581768
2021-03-20,-305275.85714285716,146112.0,18.78090492093767,38.43168740800043
2021-03-21,-305524.71428571426,147022.0,18.87157573652267,42.49074445782406
2021-03-22,-305773.5714285714,147932.0,18.962246552107672,46.549801507647686
2021-03-23,-306022.4285714286,148842.0,19.05291736769267,50.608858557471315
2021-03-24,-306271.28571428574,149752.0,19.143588183277675,54.667915607294944
2021-03-25,-306520.14285714284,150662.0,19.234258998862675,58.72697265711857
2021-03-26,-306769.0,151572.0,19.324929814447678,62.7860297069422
2021-03-27,-303694.4285714286,149029.57142857142,19.093759836875925,53.816596891664744
2021-03-28,-300619.85714285716,146487.14285714287,18.862589859304173,44.84716407638729
2021-03-29,-297545.28571428574,143944.7142857143,18.63141988173242,35.87773126110983
2021-03-30,-294470.71428571426,141402.2857142857,18.40024990416067,26.908298445832372
2021-03-31,-291396.14285714284,138859.85714285713,18.169079926588918,17.938865630554915
2021-04-01,-288321.5714285714,136317.42857142858,17.937909949017165,8.969432815277457
2021-04-02,-285247.0,133775.0,17.706739971445412,0.0
2021-04-03,-286770.85714285716,134827.57142857142,17.71831118042941,4.026669581374859
2021-04-04,-288294.71428571426,135880.14285714287,17.729882389413408,8.053339162749719
2021-04-05,-289818.5714285714,136932.7142857143,17.741453598397406,12.080008744124578
2021-04-06,-291342.4285714286,137985.2857142857,17.7530248073814,16.106678325499438
2021-04-07,-292866.28571428574,139037.85714285713,17.7645960163654,20.1333479068743
2021-04-08,-294390.14285714284,140090.42857142858,17.776167225349397,24.160017488249157
2021-04-09,-295914.0,141143.0,17.787738434333395,28.186687069624018
2021-04-10,-294337.0,139595.85714285713,17.630752986592327,24.16001748824916
2021-04-11,-292760.0,138048.7142857143,17.47376753885126,20.1333479068743
2021-04-12,-291183.0,136501.57142857142,17.31678209111019,16.106678325499438
2021-04-13,-289606.0,134954.42857142858,17.15979664336912,12.08000874412458
2021-04-14,-288029.0,133407.2857142857,17.002811195628052,8.053339162749719
2021-04-15,-286452.0,131860.14285714287,16.845825747886984,4.026669581374861
2021-04-16,-284875.0,130313.0,16.688840300145916,0.0
2021-04-17,-287703.4285714286,134567.42857142858,17.047159604835254,14.285714285713805
2021-04-18,-290531.85714285716,138821.85714285713,17.40547890952459,28.57142857142761
2021-04-19,-293360.28571428574,143076.2857142857,17.763798214213928,42.85714285714141
2021-04-20,-296188.71428571426,147330.7142857143,18.122117518903263,57.14285714285522
2021-04-21,-299017.14285714284,151585.14285714287,18.4804368235926,71.42857142856903
2021-04-22,-301845.5714285714,155839.57142857142,18.838756128281936,85.71428571428282
2021-04-23,-304674.0,160094.0,19.197075432971275,99.99999999999663
