datetime,open,high,low,close,volume
2026-02-13 05:00:00+00:00,1137.25,1137.25,1136.75,1136.75,28
2026-02-13 05:15:00+00:00,1136.75,1136.75,1135.5,1135.5,331
2026-02-13 05:30:00+00:00,1135.75,1136.0,1134.5,1135.0,2721
2026-02-13 05:45:00+00:00,1134.75,1135.75,1134.75,1135.75,52
2026-02-13 06:00:00+00:00,1135.75,1136.0,1135.5,1135.5,200
2026-02-13 06:15:00+00:00,1135.5,1136.0,1135.25,1135.25,116
2026-02-13 06:30:00+00:00,1135.25,1135.25,1134.25,1134.25,97
2026-02-13 06:45:00+00:00,1134.5,1136.75,1134.0,1134.75,698
2026-02-13 07:00:00+00:00,1134.5,1134.5,1133.25,1133.25,228
2026-02-13 07:15:00+00:00,1133.25,1133.25,1131.5,1132.5,1353
2026-02-13 07:30:00+00:00,1132.25,1132.75,1132.25,1132.75,151
2026-02-13 07:45:00+00:00,1132.75,1133.5,1132.5,1132.5,153
2026-02-13 08:00:00+00:00,1132.75,1134.0,1132.75,1133.5,319
2026-02-13 08:15:00+00:00,1133.25,1133.5,1132.5,1133.5,139
2026-02-13 08:30:00+00:00,1133.5,1133.5,1133.0,1133.25,107
2026-02-13 08:45:00+00:00,1133.5,1134.5,1133.25,1133.5,760
2026-02-13 09:00:00+00:00,1133.5,1133.5,1131.0,1132.0,617
2026-02-13 09:15:00+00:00,1132.0,1134.0,1132.0,1133.5,161
2026-02-13 09:30:00+00:00,1133.25,1135.25,1133.25,1135.25,597
2026-02-13 09:45:00+00:00,1135.25,1135.25,1133.25,1133.5,131
2026-02-13 10:00:00+00:00,1133.5,1134.0,1133.5,1133.5,197
2026-02-13 10:15:00+00:00,1133.75,1133.75,1133.25,1133.5,143
2026-02-13 10:30:00+00:00,1133.5,1133.75,1132.25,1132.75,186
2026-02-13 10:45:00+00:00,1132.75,1133.5,1132.5,1133.5,114
2026-02-13 11:00:00+00:00,1133.5,1133.5,1132.0,1132.5,183
2026-02-13 11:15:00+00:00,1132.75,1133.5,1132.75,1133.5,271
2026-02-13 11:30:00+00:00,1133.5,1133.5,1132.25,1132.25,67
2026-02-13 11:45:00+00:00,1132.25,1132.5,1130.0,1131.5,804
2026-02-13 12:00:00+00:00,1131.5,1133.25,1131.25,1133.0,170
