datetime,close,atr_14,vol_zscore_30,prob_up,side_router,router_reason,swing_bias_today,swing_age_hours,no_trade,is_rth,session
2026-02-13 05:00:00+00:00,1137.0,,,0.6017316,HOLD,prob_up=0.60 en zona neutra,0,8.0,0,0,ETH_AS
2026-02-13 05:05:00+00:00,1137.0,,,0.55309314,HOLD,prob_up=0.55 en zona neutra,0,8.083333333333334,0,0,ETH_AS
2026-02-13 05:10:00+00:00,1136.75,,,0.63465345,BUY,prob_up=0.63 >= 0.62,0,8.166666666666666,0,0,ETH_AS
2026-02-13 05:15:00+00:00,1136.75,,,0.5477215,HOLD,prob_up=0.55 en zona neutra,0,8.25,0,0,ETH_AS
2026-02-13 05:20:00+00:00,1136.5,,,0.6596318,BUY,prob_up=0.66 >= 0.62,0,8.333333333333334,0,0,ETH_AS
2026-02-13 05:25:00+00:00,1135.5,,,0.6064192,HOLD,prob_up=0.61 en zona neutra,0,8.416666666666666,0,0,ETH_AS
2026-02-13 05:30:00+00:00,1134.75,,,0.5633966,HOLD,prob_up=0.56 en zona neutra,0,8.5,0,0,ETH_AS
2026-02-13 05:35:00+00:00,1134.75,,,0.5945225,HOLD,prob_up=0.59 en zona neutra,0,8.583333333333334,0,0,ETH_AS
2026-02-13 05:40:00+00:00,1135.0,,,0.45497406,HOLD,prob_up=0.45 en zona neutra,0,8.666666666666666,0,0,ETH_AS
2026-02-13 05:45:00+00:00,1135.5,,-0.4639490614297231,0.47653183,HOLD,prob_up=0.48 en zona neutra,0,8.75,0,0,ETH_AS
2026-02-13 05:50:00+00:00,1135.5,,-0.4428268377903451,0.68024874,BUY,prob_up=0.68 >= 0.62,0,8.833333333333334,0,0,ETH_AS
2026-02-13 05:55:00+00:00,1135.75,,-0.442423629337052,0.65956926,BUY,prob_up=0.66 >= 0.62,0,8.916666666666666,0,0,ETH_AS
2026-02-13 06:00:00+00:00,1135.75,,-0.31553476617708964,0.6180057,HOLD,prob_up=0.62 en zona neutra,0,9.0,0,0,ETH_AS
