Price,count,mean,std,1%,50%,99%,nan_pct
ret_1,3409.0,1.05805601851177e-05,0.0015018521620873387,-0.0037554440730973226,0.0,0.003948626262592543,0.03
ret_3,3407.0,3.247318062517646e-05,0.002581040559531978,-0.007922786041553173,0.0,0.00712017088368718,0.09
ret_12,3398.0,0.00012925178500942095,0.004966410377723568,-0.014921391973944162,0.000215123158837649,0.01616085474478197,0.35
ema_cross,3385.0,8.17604315210368e-05,0.001975015610195064,-0.005635586433523084,0.00016870403117513833,0.005257904660615591,0.73
rsi_14,3396.0,51.19449564097811,17.22020865324416,13.63022113020911,52.17391304335123,88.7402190922584,0.41
momentum_5,3405.0,0.06240822320117474,3.859724097581403,-12.24,0.0,11.490000000000009,0.15
atr_14,3397.0,2.0340765379367367,0.8349504654859932,0.8881314128434968,1.9018697241172742,4.533336334479063,0.38
realized_vol_30,3400.0,0.0012973484816713615,0.0007682934621572318,0.0004094319196655231,0.0010889800679465386,0.004095117232482132,0.29
range_pct,3410.0,0.0016928666337648756,0.0014849605853642417,0.00021116039256686598,0.0012900451515803052,0.007486797585256456,0.0
body_pct,3385.0,0.013752539126131693,0.5550247356683687,-1.0,0.0,1.0,0.73
upper_wick,3385.0,0.2535123024934938,0.23976129451855846,0.0,0.2,1.0,0.73
lower_wick,3385.0,0.2730687713067452,0.24909373143065222,0.0,0.25,1.0,0.73
cum_delta_5,3410.0,181.1208211143695,7545.825192968239,-22597.39,70.0,23645.349999999988,0.0
cum_delta_20,3410.0,674.0111436950147,14800.471313913806,-41692.33,508.0,39772.99999999997,0.0
vol_zscore_30,3401.0,0.15962963349037795,1.2157452869606977,-1.1015258118059046,-0.2333140553978837,5.07605741107016,0.26
vwap_session,980.0,1170.0654833166311,19.110122141305645,1128.423514631231,1166.5073038959622,1231.708184527721,71.26
vwap_dist,980.0,0.00016604698154401657,0.00393972509706251,-0.00975723630267851,0.00018827841557960665,0.01413930821325612,71.26
hour_sin,3410.0,0.22257890674535508,0.6184391258576454,-0.9659258262890684,0.3214394653031616,1.0,0.0
hour_cos,3410.0,0.141971063480091,0.7403436979722829,-1.0,0.38268343236508917,1.0,0.0
minute_of_session,980.0,142.5,86.53838296531359,0.0,142.5,285.0,71.26
mins_to_close,980.0,147.5,86.53838296531359,5.0,147.5,290.0,71.26
is_first_30min,3410.0,0.02873900293255132,0.1670965609938881,0.0,0.0,1.0,0.0
is_last_30min,3410.0,0.02873900293255132,0.1670965609938881,0.0,0.0,1.0,0.0
is_rth,3410.0,0.2873900293255132,0.4526113959663183,0.0,0.0,1.0,0.0
dow,3410.0,2.133724340175953,1.5896982174832224,0.0,2.0,6.0,0.0
