Price,count,mean,std,1%,50%,99%,nan_pct
ret_1,10040.0,3.5706403013595385e-06,0.0009305775979157564,-0.0023447194705279806,0.0,0.0021062716007107535,0.01
ret_3,10038.0,1.0757092896378465e-05,0.0015449015339823189,-0.003915617915928138,0.0,0.0038904265910482162,0.03
ret_12,10029.0,4.3613176457863326e-05,0.002926624568734615,-0.008658113733772161,0.0,0.008820197866713831,0.12
ema_cross,10016.0,2.7119022593247933e-05,0.0011981852378420053,-0.003938597541087957,6.521220954049483e-05,0.0036455895702222772,0.25
rsi_14,10027.0,50.49920151575901,16.244622796975342,12.634920634912987,49.99999999990667,86.86177565117968,0.14
momentum_5,10036.0,0.02080011956954962,2.2553616673666315,-6.25,0.0,6.0,0.05
atr_14,10028.0,1.1149132357542273,0.6181836784484546,0.31267281942404884,0.9816573895616036,3.1206296563346143,0.13
realized_vol_30,10031.0,0.0007482584346750406,0.0005587610586871691,0.00021988613820217516,0.0005974097538756622,0.0029931416437083626,0.1
range_pct,10041.0,0.0009128929959657988,0.000916932224286456,0.0,0.0006475285991797971,0.004106368161111218,0.0
body_pct,9525.0,0.00774547682133684,0.62888511477197,-1.0,0.0,1.0,5.14
upper_wick,9525.0,0.23248925321979225,0.27527349002302276,0.0,0.14285714285714285,1.0,5.14
lower_wick,9525.0,0.2410795955581343,0.2789926038563044,0.0,0.16666666666666666,1.0,5.14
cum_delta_5,10041.0,16.448560900308735,2882.571005709373,-9995.4,7.0,9474.400000000032,0.0
cum_delta_20,10041.0,72.4901902200976,5929.214595479857,-17706.2,36.0,20730.20000000002,0.0
vol_zscore_30,10032.0,0.07018939480896434,1.1156551282471008,-1.0988936081191178,-0.3139487014782138,4.710319050371874,0.09
vwap_session,2842.0,1170.0457421563278,19.172708099921824,1128.4206475552292,1166.437220567033,1231.807519887628,71.7
vwap_dist,2842.0,0.00015822958909052096,0.003877333080061134,-0.009661012386514537,0.00013119186343255507,0.013845887502198534,71.7
hour_sin,10041.0,0.2337811591979944,0.6165262956838088,-0.9537169507482268,0.3420201433256687,0.9997620270799091,0.0
hour_cos,10041.0,0.1406870643740986,0.7386074958039426,-0.9997620270799091,0.38268343236508917,0.9997620270799091,0.0
minute_of_session,2842.0,142.5,83.71807523518517,0.0,142.5,285.0,71.7
mins_to_close,2842.0,147.5,83.71807523518517,5.0,147.5,290.0,71.7
is_first_30min,10041.0,0.029279952195996415,0.16859853954081727,0.0,0.0,1.0,0.0
is_last_30min,10041.0,0.029279952195996415,0.16859853954081727,0.0,0.0,1.0,0.0
is_rth,10041.0,0.283039537894632,0.4504979132592534,0.0,0.0,1.0,0.0
dow,10041.0,2.1382332437008267,1.5917532823045837,0.0,2.0,6.0,0.0
