Price,count,mean,std,1%,50%,99%,nan_pct
ret_1,11164.0,-1.0748495815117468e-05,0.004054358616610626,-0.013178583976406939,0.0,0.014706431928154157,0.01
ret_3,11162.0,-3.2430577667195e-05,0.0055013065669612254,-0.016511903931629036,0.0,0.017662072953116614,0.03
ret_12,11153.0,-0.00013707735071455016,0.00908286019228647,-0.023841041135821008,-0.0002445286722050355,0.024948287962212972,0.11
ema_cross,11140.0,-0.00011681038647813293,0.003498778965304692,-0.008938684365402506,-0.00024275340421607233,0.008711558972728189,0.22
rsi_14,11151.0,49.41086423372824,17.55899502176007,10.810810810802622,49.29577464784844,88.05970149250052,0.13
momentum_5,11160.0,-0.07069892473118279,7.284598933678711,-21.0,0.0,22.75,0.04
atr_14,11152.0,5.156405752732338,5.822756436790198,2.111295869097618,3.622168416136356,32.958062722638694,0.12
realized_vol_30,11155.0,0.0030734911253266603,0.0027255091420170085,0.0011287262776513915,0.002311649835470645,0.015054932146414535,0.09
range_pct,11165.0,0.0046442747982361554,0.0058052442098823365,0.000630550471154498,0.002881844380403458,0.029952752687253937,0.0
body_pct,11161.0,0.004156685109176372,0.5329109516975951,-0.9802272727272727,0.0,0.9789866198727788,0.04
upper_wick,11161.0,0.28822210853703933,0.24029515300296933,0.0,0.23809523809523808,0.9394605394605394,0.04
lower_wick,11161.0,0.2582726778044465,0.22628319388409307,0.0,0.2,0.9242857142857139,0.04
cum_delta_5,11165.0,-822.2841916703985,26149.837345736225,-78497.2,-271.0,80988.48000000014,0.0
cum_delta_20,11165.0,-3274.209314823108,54477.26141713872,-129125.56,-2825.0,145335.44,0.0
vol_zscore_30,11156.0,-0.001443084122266793,0.9978967149417637,-0.9659484946003971,-0.44755770171424736,3.323611385081902,0.08
vwap_session,2999.0,1088.7934996794145,95.83641738980671,968.3416123592164,1058.2499999999698,1329.2793938075633,73.14
vwap_dist,2999.0,inf,,-0.010853656806745974,-0.0001592356687440518,0.0116996208082338,73.14
hour_sin,11165.0,0.22193654174063035,0.632191392363332,-0.9659258262890684,0.258819045102521,1.0,0.0
hour_cos,11165.0,0.1137538780486727,0.7336363354000222,-1.0,0.25881904510252074,1.0,0.0
minute_of_session,2999.0,149.69989996665555,84.90179923691707,30.0,150.0,270.0,73.14
mins_to_close,2999.0,140.30010003334445,84.90179923691707,20.0,140.0,260.0,73.14
is_first_30min,11165.0,0.0005373936408419167,0.02317656055905301,0.0,0.0,0.0,0.0
is_last_30min,11165.0,0.05329153605015674,0.2246242804415011,0.0,0.0,1.0,0.0
is_rth,11165.0,0.2686072548141514,0.44325499983361216,0.0,0.0,1.0,0.0
dow,11165.0,2.0858934169278998,1.5777539211773772,0.0,2.0,6.0,0.0
